Name,City,State,Date,Stars,Review
Daniel L.,Phoenix, AZ,9-26-2011,1,"This Brasilian restaurant is one of the more popular hangout spots in Ames where people meet and congregate over food and drinks. The dive-like squared shaped interior encompasses a row of tables stacked next to the windows and a full bar with flags of many countries to render the feel of an international fare. Some people refer to their cuisine as ""ethnic"" and its one of the few places that contribute to the nightlife that many consider lacking in Ames.
Their menu consists of majority salads, burgers and sandwiches. My friends and I decided to share an order of Cheese Empanadas ($4) which included two fried empanadas with mozzarella, cheddar, muenster, and parmesan embedded. The overall texture and taste was okay for a dish that requires minimum preparation and execution. One of the empanadas had plenty of gooey cheeses but the other was a shell hollow in the middle. We complained it to the server and she responded with a shrug, vaguely apologized, and smiled. I expected a Brazilian meal so I ordered the Feijoada Simple ($11.95). Feijoada is Brasils national dish but the server hardly knew how to pronounce the word. The dish came with black beans, basmati rice, sautéed onions, tomatoes, garlic, collard greens, grilled pork tenderloin, Portuguese sausage, farofa, salsa, and a hardboiled egg strangely served without the yolk. I asked for them to hold the bacon and they were very nice to add more rice to fill my plate to the brim.
It turns out that the entire dish fell flat, bland, and without much flavor. The black beans lacked the deep smoky meaty aroma and the pork tenderloin turned out dry. All the ingredients were layered on top of each other but there wasnt anything in this dish that stood out to bring depth or string the flavors together. As the most expensive dish on the menu, portion was fabulous but the taste, price, and value were not. Im usually swept away by a smokin Feijoada and on this visit I didnt finish it.
My friend has been having trouble getting into the bar because their manager would not honor her U.S. State Department issued green card as a valid ID. When we were dining she proceeded to show the servers her green card as a method to avoid future problems but the two servers looked confused and couldnt give her a definitive answer. It became apparent that they had questions about her country of origin rather than to use it as method to verify her drinking age. This is quite ironic given the ownership and pride in providing an international fare.
One noticeable benefit is their free wifi but the drinking atmosphere does not make this place conducive for studying. Overall, the disparities between Cafe B and the places Ive previously visited were vast for me to consider a higher rating. Interested diners looking for authentic Brasilian cuisine will be disappointed."
Saul B,Ames, IA,2-26-2017,4,This was one of the first places I visited when I started school at Iowa State. It is surprisingly affordable for the environment and quality of food. For less than $15 you can get a massive burger and drink for lunch/dinner.The reason for the 4/5 stars is the wait staff. Sometimes they are super attentive and is one of the best dining experiences. Other times  despite the empty restaurant  it takes forever to get a menu or get the waiters attention.Ive mostly only had the burgers. The Spanish burger bring my favorite. So the spice additive varies  sometimes its a red chili powder which was almost inedible. Other times the spice is jalapeños and its barely noticeable. Either way  the burger is amazing. Unfortunately  you only get a handful of fries with the burger.You can buy an additional order of fries for $5 and it is a ton of fries. For some reason the half order of fries is $4 which doesnt make sense but whatever.I have only been there for brunch one time. Their orange juice is so good  always fresh since I can see the bartender/waiter making the juice after I ordered it. It has been a while since brunch but it was a sizable steak and other stuff.BTW  the place turns into a bar (no food or people under 21) after 9pm. Its definitely not an everyday place. It is also not too expensive that its reserved for special occasions. If you want to treat yourself  this is the perfect place!
Eric B.,Genoa, NV,9-13-2021,5,"The Soul of Brasil in the Heart of Iowa
Cafe Beaudelaire is located on the block of Campus Town that hasnt been included in the recent rounds of urban development. When Dad and I stopped by last Thursday for Dinner, there was some recent demolition that might be an indication that the ongoing pissing match between the City of Ames and the Developer is slowly reaching some kind of resolution. However, I still wonder if a beloved restaurant that has been here for over 30 years will survive the next tear down.
Dad and I are pretty careful with our COVID-related precautions, so I was a little surprised that he chose an indoor table for Dinner vs. an available outdoor table for 2. Restaurant staff were all masked and so were we until we sat down. My brother had warned me that the acoustics can be loud here, because of what looks like a metal ceiling. However, the Café was not full during our stay and conversation was easy and relaxed.
The menu is interesting and somewhat eclectic, with my only critique being that although I like my starch, Im not a big breaded and/or deep fried guy. So the Mozzarella Sticks, Jalapeno Cheddar Chicken Balls, Cheese Empanada, and Argentine Beef Empanada, and Chicken Strips were out. But the Salads, Yucca Fries, Burgers, Gyros, Cuban Sandwich, and Veggie dishes were very open to being ordered.
I settled on the garlic spaghetti with gyro meat and bread, which just missed being lick the plate good because I just couldnt finish the more than generous portion. Dad was a bit less adventurous with his delicioius cheeseburger selection. Cafe staff were marvelous, especially in terms of friendliness, follow-up, and overall professionalism. The restaurant atmosphere itself was a treat, and a welcome respite from the outside ISU Campus Town world. Go Hawkeyes!"
Catalina P.,West Lafayette, IN,10-10-2015,5,"Amazing food! Theres a vegetarian menu as well as a variety of delicious burgers. Id recommend trying the plates that include Brazilian meats/vegetables as they give an exquisite flavor.
Also the long islands and the bloody Marys are so good!"
Lisa D.,Chicago, IL,10-18-2021,5,The food was excellent. Unique Brazilian sandwiches. Fun decor. Clearly soccer fans!
C C.,Tulsa, OK,8-12-2012,5,Yucca fries with aioli was amazing! Spanish burger really good. Even had a nice vegan option (iron veggie
Ravyn D.,Omaha, NE,9-26-2016,5,This place is AMAZING!!! My whole family loved it. My mom and I bought the delicious sandwich and OMGN I can eat it every time.
Bryce A.,Boone, IA,10-22-2016,2,The food was good but the place is small and not very quiet so u cant enjoy your food service was ok
Lydia H.,Bentonville, AR,2-17-2021,5,I want to curl up in a pile of Yucca Fries and live there forever. Cover me in garlic aioli  hand me an Iguana Wana and leave me be  because Cafe Beaudelaie is my happy place.
Amanda L.,Tampa, FL,8-10-2021,5,Best place in Story county. Food  cocktails  good beer selection  the owner is HILARIOUS and very tentative. The food on the other hand CANNOT BE REPLICATED. Best food and worth every penny. This is a one of a kind hole in the wall that you dont want to miss out on.
